time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-18 00:00:00+00:00,57,38,41,9
2023-11-19 00:00:00+00:00,33,30,8,4
2023-11-20 00:00:00+00:00,60,46,122,24
2023-11-21 00:00:00+00:00,88,61,264,33
2023-11-22 00:00:00+00:00,84,58,57,18
2023-11-23 00:00:00+00:00,103,73,112,25
2023-11-24 00:00:00+00:00,89,46,76,22
2023-11-25 00:00:00+00:00,49,38,44,14
2023-11-26 00:00:00+00:00,44,34,62,12
2023-11-27 00:00:00+00:00,78,47,91,19
2023-11-28 00:00:00+00:00,84,52,143,25
2023-11-29 00:00:00+00:00,86,49,131,29
2023-11-30 00:00:00+00:00,79,45,134,22
2023-12-01 00:00:00+00:00,165,64,80,18
