referrer,views_total,views_unique
python.org,193,42
en.wikipedia.org,128,33
github.com,67,15
discuss.python.org,59,3
Google,58,18
m.blog.naver.com,54,1
Bing,47,3
en.m.wikipedia.org,39,16
cn.bing.com,32,3
chipsec.github.io,29,5
