referrer,views_total,views_unique
github.com,166,24
python.org,148,40
Google,100,24
en.wikipedia.org,56,23
discuss.python.org,32,4
Bing,25,5
cn.bing.com,25,3
en.m.wikipedia.org,19,9
chipsec.github.io,14,4
linkedin.com,10,1
