time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,159,141,28,10
2025-12-28 00:00:00+00:00,145,140,31,7
2025-12-29 00:00:00+00:00,267,237,34,9
2025-12-30 00:00:00+00:00,139,117,49,16
2025-12-31 00:00:00+00:00,272,230,24,8
2026-01-01 00:00:00+00:00,124,103,5,4
2026-01-02 00:00:00+00:00,284,227,40,3
2026-01-03 00:00:00+00:00,129,102,18,8
2026-01-04 00:00:00+00:00,108,103,20,10
2026-01-05 00:00:00+00:00,156,107,45,15
2026-01-06 00:00:00+00:00,269,201,36,13
2026-01-07 00:00:00+00:00,173,120,60,22
2026-01-08 00:00:00+00:00,148,124,56,12
2026-01-09 00:00:00+00:00,203,182,10,6
