referrer,views_total,views_unique
github.com,136,36
Google,49,18
DuckDuckGo,28,2
python.org,27,19
chipsec.github.io,6,5
teams.public.onecdn.static.microsoft,3,2
Bing,2,1
com.linkedin.android,1,1
engage.cloud.microsoft,1,1
jira.devtools.intel.com,1,1
