referrer,views_total,views_unique
Google,232,25
github.com,119,24
python.org,115,38
cn.bing.com,95,4
en.wikipedia.org,75,24
uefi.org,72,3
discuss.python.org,36,2
en.m.wikipedia.org,16,8
Bing,14,5
jira.ad.3l.ru,9,1
