referrer,views_total,views_unique
github.com,123,44
python.org,94,50
Google,76,19
Bing,38,11
en.wikipedia.org,17,13
edk2.groups.io,12,1
damn99.com,10,3
cn.bing.com,9,4
DuckDuckGo,9,2
en.m.wikipedia.org,8,8
