referrer,views_total,views_unique
python.org,190,51
Google,112,21
github.com,94,23
en.wikipedia.org,45,19
utteranc.es,32,1
en.m.wikipedia.org,21,10
ithelp.ithome.com.tw,21,4
Bing,20,3
confluence1.labs.lenovo.com,16,2
chipsec.github.io,14,4
