url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,95,51
/tianocore/edk2-libc,90,73
/tianocore/edk2-libc/tree/master,39,13
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,31,17
/tianocore/edk2-libc/issues,28,5
/tianocore/edk2-libc/tree/master/AppPkg/Applications,18,11
/tianocore/edk2-libc/tree/master/StdLib,17,12
/tianocore/edk2-libc/tree/master/AppPkg,17,11
/tianocore/edk2-libc/pulls,15,3
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python,14,7
