time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-15 00:00:00+00:00,448,249,98,30
2025-09-16 00:00:00+00:00,201,147,28,8
2025-09-17 00:00:00+00:00,223,189,131,21
2025-09-18 00:00:00+00:00,168,116,76,21
2025-09-19 00:00:00+00:00,198,154,19,13
2025-09-20 00:00:00+00:00,120,102,11,8
2025-09-21 00:00:00+00:00,107,89,30,9
2025-09-22 00:00:00+00:00,184,159,38,12
2025-09-23 00:00:00+00:00,176,144,37,15
2025-09-24 00:00:00+00:00,261,188,30,9
2025-09-25 00:00:00+00:00,187,131,66,20
2025-09-26 00:00:00+00:00,298,267,33,12
2025-09-27 00:00:00+00:00,118,108,41,7
2025-09-28 00:00:00+00:00,71,40,10,5
