referrer,views_total,views_unique
Google,162,25
github.com,96,34
python.org,86,48
en.wikipedia.org,29,21
discuss.python.org,22,6
chatgpt.com,18,1
DuckDuckGo,17,1
Bing,12,4
confluence1.labs.lenovo.com,12,1
en.m.wikipedia.org,7,6
