url_path,views_total,views_unique
/tianocore/edk2-libc,151,96
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,121,104
/tianocore/edk2-libc/tree/master/AppPkg,23,19
/tianocore/edk2-libc/tree/master/StdLib,21,15
/tianocore/edk2-libc/tree/master,21,13
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,18,15
/tianocore/edk2-libc/tree/master/AppPkg/Applications,18,12
/tianocore/edk2-libc/releases/tag/v3.6.8.1,16,8
/tianocore/edk2-libc/pulls,15,4
/tianocore/edk2-libc/releases,13,8
