url_path,views_total,views_unique
/tianocore/edk2-libc,222,81
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,125,108
/tianocore/edk2-libc/issues,55,7
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,45,25
/tianocore/edk2-libc/pulls,45,6
/tianocore/edk2-libc/tree/master/AppPkg,30,19
/tianocore/edk2-libc/tree/master/StdLib,29,19
/tianocore/edk2-libc/tree/master/AppPkg/Applications,25,14
/tianocore/edk2-libc/tree/master,22,14
/tianocore/edk2-libc/issues/80,22,4
