time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-19 00:00:00+00:00,120,68,141,20
2024-03-20 00:00:00+00:00,117,73,79,21
2024-03-21 00:00:00+00:00,133,78,88,21
2024-03-22 00:00:00+00:00,142,73,80,23
2024-03-23 00:00:00+00:00,56,48,26,11
2024-03-24 00:00:00+00:00,50,45,21,11
2024-03-25 00:00:00+00:00,115,75,105,21
2024-03-26 00:00:00+00:00,185,90,130,19
2024-03-27 00:00:00+00:00,162,101,60,18
2024-03-28 00:00:00+00:00,171,122,32,12
2024-03-29 00:00:00+00:00,87,67,103,16
2024-03-30 00:00:00+00:00,41,37,36,8
2024-03-31 00:00:00+00:00,40,39,23,9
2024-04-01 00:00:00+00:00,69,51,78,16
