url_path,views_total,views_unique
/tianocore/edk2-libc/blob/master/AppPkg/Applications/Python/Python-3.6.8/Py368ReadMe.txt,165,72
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8,162,19
/tianocore/edk2-libc,124,84
/tianocore/edk2-libc/tree/master/AppPkg,73,17
/tianocore/edk2-libc/tree/master/StdLib,56,17
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8/PyMod-3.6.8,52,4
/tianocore/edk2-libc/tree/master/AppPkg/Applications,49,14
/tianocore/edk2-libc/blob/master/StdLib/LibC/CRT/Ia32/udivdi3.S,38,2
/tianocore/edk2-libc/tree/master,32,20
/tianocore/edk2-libc/tree/master/AppPkg/Applications/Python/Python-3.6.8/PyMod-3.6.8/Modules,29,3
